Game (459 total),Genre,Year Released,Year Beaten,Platform,Rating,,,
Phoenix Wright: Ace Attorney: Justice for All,VN,2002,2014,NDS,3,,,
Pocky & Rocky,Shmup,1992,2020,SNES,3,,,
Pokemon FireRed,JRPG,2004,,GBA,3,,,
Pokemon X,JRPG,2013,2014,3DS,3,,,
Portal,Puzzle,2007,2010,PC,3,,,
Portal 2,Puzzle,2011,2011,PS3,3,,,
Prince of Persia: The Sands of Time,3D Platformer,2003,,GCN,3,,,
Putt-Putt Joins the Circus,Puzzle,2000,,PC,3,,,
Putt-Putt Saves the Zoo,Puzzle,1995,,PC,3,,,
Raw Danger!,Adventure,2006,2015,PS2,3,,,
Rayman 2,3D Platformer,1999,2013,N64,3,,,
Rayman 3,3D Platformer,2003,2013,XBOX,3,,,
Rayman Origins,2D Platformer,2011,2014,PS3,3,,,
Red Dead Redemption,Open World,2010,2018,PS3,3,,,
Resident Evil 5,TPS,2009,2015,PC,3,,,
Return to Castle Wolfenstein,FPS,2001,2015,PC,3,,,
Rhythm Heaven,Rhythm,2008,2013,NDS,3,,,
Ridge Racer 64,Racing,2000,2019,N64,3,,,
River City Ransom,Beat 'Em Up,1989,,NES,3,,,
Rock Band,Rhythm,2007,,Wii,3,,,
Rocket: Robot on Wheels,3D Platformer,1999,2013,N64,3,,,
Scooby Doo: Classic Creep Capers,Adventure,2000,2020,N64,3,,,
Serious Sam Advance,FPS,2004,2015,GBA,3,,,
Serious Sam: the Next Encounter,FPS,2004,2016,GCN,3,,,
Shank,Beat 'Em Up,2010,2013,PC,3,,,
Shenmue,Adventure,1999,2014,DC,3,,,
Shinobi,2D Platformer,2011,2013,3DS,3,,,
Sonic 06,3D Platformer,2006,,PS3,3,,,
Sonic Advance 3,2D Platformer,2004,,GBA,3,,,
Space Channel 5,Rhythm,1999,2013,PS2,3,,,
Space Channel 5: Part 2,Rhythm,2002,2013,PS2,3,,,
Space Invaders,Shmup,1999,2020,N64,3,,,
Space Invaders Extreme 2,Shmup,2009,,NDS,3,,,
Spider-Man,Action,2000,2020,N64,3,,,
Spider-Man 2,Open World,2004,,XBOX,3,,,
Star Fox 64,Shmup,1997,2020,N64,3,,,
Star Soldier: Vanishing Earth,Shmup,1998,2021,N64,3,,,
Stranglehold,TPS,2007,2014,X360,3,,,
Super Mario 3D World,3D Platformer,2013,2015,Wii U,3,,,
Super Mario Bros,2D Platformer,1985,2019,SNES,3,,,
Super Mario Bros 3,2D Platformer,1988,2019,GBA,3,,,
Super Mario Galaxy,3D Platformer,2007,,Wii,3,,,
Super Mario Land,2D Platformer,1989,,GB,3,,,
Super Mario Odyssey,3D Platformer,2017,2018,NSW,3,,,
Super Mario World 2: Yoshi's Island,2D Platformer,1995,,SNES,3,,,
Super Meat Boy,2D Platformer,2010,,PC,3,,,
Super Monkey Ball Banana Splitz,Action,2012,,PSV,3,,,
